congress_number,congress_start_year,position,last_name,first_name,middle_initial,nickname,suffix,birthday,birthplace,residence
18,2019,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
18,2019,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
18,2019,Senator,Zubiri,Juan Miguel,F,Migz,,4/13/1969,Makati City,Bukidnon
18,2019,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
18,2019,Senator,Angara,Juan Edgardo,M,Sonny,,7/15/1972,Manila,Aurora
18,2019,Senator,Binay,Maria Lourdes Nancy,S,Nancy,,5/12/1973,Makati City,Makati City
18,2019,Senator,Cayetano,Pia Juliana,S,Pia,,5/22/1966,Taguig City,Taguig City
18,2019,Senator,De Lima,Leila Norma Eulalia Josefa,M,Leila,,8/27/1959,Camarines Sur,Camarines Sur
18,2019,Senator,Dela Rosa,Ronald ,M,Bato,,1/21/1962,Davao del Sur,Davao del Sur
18,2019,Senator,Gatchalian,Sherwin,T,Win,,4/6/1974,Valenzuela City,Valenzuela City
18,2019,Senator,Go,Christopher Lawrence,T,Bong,,6/14/1974,Davao City,Davao City
18,2019,Senator,Gordon,Richard,J,Dick,Sr,8/5/1945,Zambales,Zambales
18,2019,Senator,Hontiveros,Ana Theresia,N,Risa,,8/24/1966,Manila,Manila
18,2019,Senator,Lacson,Panfilo,M,Ping,,6/1/1948,Cavite,Cavite
18,2019,Senator,Lapid,Manuel,M,Lito,,10/25/1955,Pampanga,Pampanga
18,2019,Senator,Marcos,Maria Imelda Josefa,R,Imee,,11/12/1955,Mandaluyong City,Ilocos Sur
18,2019,Senator,Pacquiao,Emmanuel,D,Manny,,12/17/1978,Bukidnon,Saranggani
18,2019,Senator,Pangilinan,Francis,,Kiko,,8/24/1963,Pampanga,Quezon City
18,2019,Senator,Pimentel,Aquilino,,Koko,III,1/20/1964,Cagayan de Oro,Cagayan de Oro
18,2019,Senator,Poe,Mary Grace Natividad ,L,Grace,,9/3/1968,Iloilo City,Quezon City
18,2019,Senator,Revilla,Ramon,,Bong,Jr,9/25/1966,Cavite,Cavite
18,2019,Senator,Tolentino,Francis,N,Tol,,1/3/1960,Albay,Tagaytay City
18,2019,Senator,Villanueva,Emmanuel Joel,J,Joel,,8/2/1975,Bulacan,Bulacan
18,2019,Senator,Villar,Cynthia,A,,,7/29/1950,Muntinlupa City,Las Pinas City
17,2016,Senator,Sotto,Vicente,C,,III,8/24/1948,Manila,Quezon City
17,2016,Senator,Pimentel,Aquilino,,Koko,III,1/20/1964,Cagayan de Oro,Cagayan de Oro
17,2016,Senator,Recto,Ralph,G,,,1/11/1964,Quezon City,Batangas
17,2016,Senator,Zubiri,Juan Miguel,F,Migz,,4/13/1969,Makati City,Bukidnon
17,2016,Senator,Drilon,Franklin,M,Frank,,11/28/1945,Iloilo City,IloIlo City
17,2016,Senator,Angara,Juan Edgardo,M,Sonny,,7/15/1972,Manila,Aurora
17,2016,Senator,Aquino,Paulo Benigno,A,Bam,IV,5/7/1977,Tarlac,Tarlac
17,2016,Senator,Binay,Maria Lourdes Nancy,S,Nancy,,5/12/1973,Makati City,Makati City
17,2016,Senator,Cayetano,Alan Peter,S,,,10/28/1970,Taguig City,Taguig City
17,2016,Senator,De Lima,Leila Norma Eulalia Josefa,M,Leila,,8/27/1959,Camarines Sur,Camarines Sur
17,2016,Senator,Ejercito,Joseph Victor,G,JV,,12/26/1969,San Juan City,San Juan City
17,2016,Senator,Escudero,Francis Joseph,G,Chiz,,10/10/1969,Sorsogon Sorsogon,
17,2016,Senator,Gatchalian,Sherwin,T,Win,,4/6/1974,Valenzuela City,Valenzuela City
17,2016,Senator,Gordon,Richard,J,Dick,Sr,8/5/1945,Zambales,Zambales
